campaign,model,benchmark,mode,retention,pixel_cap,n_attempted,n_completed,n_skipped,official_metric,official_score,mean_visual_tokens,engine,source_json,sha256,note
P0-1,Qwen/Qwen3-VL-8B-Instruct,textvqa,pre-final,0.25,native(0),5000,5000,0,VQA-acc,0.4985,215.8,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_pre-final_textvqa_r0.750_full.json,a7ef37f7cc9d5387c9fdd5da7ec13827e698c3ac3a1c5081e18c13b1bdaad856,
P0-1,Qwen/Qwen3-VL-8B-Instruct,textvqa,post,0.25,native(0),5000,5000,0,VQA-acc,0.2217,215.8,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_post_textvqa_r0.750_full.json,33fe1796fd7f6e1f8384c2579912a32c518aa0ec50e37de9694329f61a115f66,
P0-1,Qwen/Qwen3-VL-8B-Instruct,docvqa,pre-final,0.25,native(0),5349,5349,0,ANLS,0.2836,946.7,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_pre-final_docvqa_r0.750_full.json,59b699433243fa8b98814e72e06784149c810e2c1d262e84db725ceb83e798de,
P0-1,Qwen/Qwen3-VL-8B-Instruct,docvqa,post,0.25,native(0),5349,5349,0,ANLS,0.2377,946.7,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_post_docvqa_r0.750_full.json,6e6ecb487e0b10aff864067c452ebe5dd263666eb8a57564fb6861c177e61a10,
P0-1,Qwen/Qwen3-VL-8B-Instruct,ocrbench,pre-final,0.25,native(0),1000,1000,0,OCRBench /1000,419.0,228.9,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_pre-final_ocrbench_r0.750_full.json,4e535a233e0f85a0be84c03ebcb34cd3a5ed56d3a6b36a53a4a7ca095cef770e,
P0-1,Qwen/Qwen3-VL-8B-Instruct,ocrbench,post,0.25,native(0),1000,1000,0,OCRBench /1000,184.0,228.9,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_post_ocrbench_r0.750_full.json,346405bebfbfc7dffe94964f35cfcb57e272b27f748372ca1bf596d9097d49e9,
P0-1,Qwen/Qwen3-VL-8B-Instruct,gqa,pre-final,0.25,native(0),12578,12578,0,exact-match,0.4207,96.8,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_pre-final_gqa_r0.750_full.json,89dfc8815e956a87b93c2c683bc739028cd58d9b2b01d0b5c72b84356192840d,
P0-1,Qwen/Qwen3-VL-8B-Instruct,gqa,post,0.25,native(0),12578,12578,0,exact-match,0.4771,96.8,vllm,results/acmmm_final_controls/p0_1/p0_1_qwen3_post_gqa_r0.750_full.json,285c61b16e099655cd5f031de8c203fa577d2b8e08c36cea0ed215683c40254a,
P0-1,Qwen/Qwen3-VL-8B-Instruct,textvqa,none,N/A (none),native(0),5000,4998,2,VQA-acc,0.8443,772.5,vllm,runs/full_matrix/j7_qwen3vl_none_textvqa_r0.000_full.json,7fc66763b0a047f377998ed46b314a9a630af28be77a2392b8b8ebbbd64cc7f3,"anchor (reused verified cell, not re-run)"
P0-1,Qwen/Qwen3-VL-8B-Instruct,docvqa,none,N/A (none),native(0),5349,5349,0,ANLS,0.9562,3693.4,vllm,runs/r2_same_scope/r2_qwen3vl_none_docvqa_full5349.json,ee143791084a611765bac36bfa947fef6afffd7415c99392983c9707cc81b6fc,"anchor (reused verified cell, not re-run)"
